ID,Title (exact YouTube title),Channel,Direct YouTube URL,Category,Duration_min,Why this fits,,,,,,
V17,How To Set Up A GPIO Screen For Raspberry Pi | Waveshare 3.5 Inch Touch LCD,Core Electronics,https://www.youtube.com/watch?v=vCAGzLGTUk4,RaspberryPi-Intermediate,7.22,"Clear intermediate wiring of a touch LCD screen to a Pi, 7.22 min.",,,,,,
V18,PiicoDev RFID Module | Guide for Raspberry Pi,Core Electronics,https://www.youtube.com/watch?v=rRdC7kj-YHo,RaspberryPi-Intermediate,14.08,"Clear intermediate wiring of an RFID module to a Pi, 14.08 min.",,,,,,
V19,How to Set up the RC522 to Work with a Raspberry Pi,Brett Medjuck,https://www.youtube.com/watch?v=n-XPS0eGjG0,RaspberryPi-Intermediate,13.15,"Clear intermediate breadboard wiring of an RC522 RFID module to a Pi, 13.15 min.",,,,,,
V20,How to make an RFID door lock system with Raspberry Pi board,SriTu Hobby,https://www.youtube.com/watch?v=p1RfcgJnHR4,RaspberryPi-Intermediate,4.92,"Clear intermediate breadboard wiring of an RFID door lock system, 4.92 min.",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
